sampleKEY, date, time, timeElapsed, timeUnit, actual, blank, temp
62,,0,40,sec,1.0116,,
62,,0.434027778,40,sec,1.0115,,
62,,0.435416667,2,min,1.0113,,
62,,0.4375,5,hour,1.01,1.003,21.5
62,,0.444444444,15,min,1.009,,
62,,0.454861111,30,min,1.0086,,
62,,0.475694444,60,min,1.0083,1.003,21
62,,0.517361111,2,hour,1.0081,1.003,20.5
62,,0.684027778,6,hour,1.008,1.003,20.5
62,,0.434027778,24,hour,1.0072,1.004,20
63,,0,40,sec,1.0172,1.003,22
63,,0,40,sec,1.017,,
63,,0.409027778,40,sec,1.0171,,
63,,0.410416667,2,min,1.0157,,
63,,0.4125,5,min,1.0148,1.003,21.8
63,,0.419444444,15,min,1.0135,,
63,,0.429861111,30,min,1.0129,,
63,,0.450694444,60,min,1.012,1.003,21
63,,0.492361111,2,hour,1.0116,1.003,20.5
63,,0.659027778,6,hour,1.0105,1.0035,20.5
63,,0.409027778,24,hour,1.0095,1.0036,20
64,42565,0,40,sec,1.0127,1.0027,21
64,42565,0,40,sec,1.012,,
64,42565,0.442361111,40,sec,1.0125,,
64,42565,0.443055556,2,sec,1.0113,,
64,42565,0.445138889,5,sec,1.0101,1.0032,21
64,42565,0.452083333,15,sec,1.01,,
64,42565,0.4625,30,sec,1.0092,,
64,42565,0.483333333,60,sec,1.0085,1.0034,20.4
64,42565,0.525,2,sec,1.0085,1.0035,20.3
64,42565,0.691666667,6,sec,1.0079,1.0038,20.4
64,42566,0.441666667,24,sec,1.0075,1.0038,19.7
66,42565,0,40,sec,1.018,1.0035,21.2
66,42565,0,40,sec,1.016,,
66,42565,0.408333333,40,sec,1.0165,,
66,42565,0.409027778,2,min,1.0159,,
66,42565,0.410416667,5,min,1.0141,1.0032,21
66,42565,0.417361111,15,min,1.013,,
66,42565,0.427777778,30,min,1.0128,,
66,42565,0.448611111,60,min,1.0118,1.0034,20.8
66,42565,0.490972222,2,hour,1.0116,1.0035,20.7
66,42565,0.657638889,6,hour,1.0108,1.0039,20.8
66,42566,0.407638889,24,hour,1.01,1.0039,19.3
67,42565,0,40,sec,1.019,1.0032,21.1
67,42565,0,40,sec,1.0189,,
67,42565,0.424305556,40,sec,1.0206,,
67,42565,0.425,2,min,1.0179,,
67,42565,0.427777778,5,min,1.0159,1.003,20.9
67,42565,0.434722222,15,min,1.0158,,
67,42565,0.445138889,30,min,1.0132,,
67,42565,0.465972222,60,min,1.0129,1.003,20.5
67,42565,0.507638889,2,hour,1.0127,1.0032,20.4
67,42565,0.674305556,6,hour,1.0112,1.0032,20.2
67,42566,0.424305556,24,hour,1.0101,1.0038,19.5
68,42578,0,40,sec,1.0098,1.0018,26
68,42578,0,40,sec,1.01,,
68,42578,0.427083333,40,sec,1.0097,,
68,42578,0.429166667,2,min,1.0081,,
68,42578,0.43125,5,min,1.007,1,23
68,42578,0.438194444,15,min,1.0061,,
68,42578,0.448611111,30,min,1.0062,,
68,42578,0.469444444,60,min,1.0061,1.002,22
68,42578,0.511111111,2,hour,1.006,1.0021,21.5
68,42578,0.677777778,6,hour,1.0059,1.0025,21.2
68,42578,0.427083333,24,hour,1.005,1.002,20
69,42578,0,40,sec,1.008,1.0019,20
69,42578,0,40,sec,1.0077,,
69,42578,0.436805556,40,sec,1.0073,,
69,42578,0.438194444,2,min,1.0062,,
69,42578,0.440277778,5,min,1.0064,1.002,21
69,42578,0.447222222,15,min,1.0063,,
69,42578,0.457638889,30,min,1.006,,
69,42578,0.478472222,60,min,1.006,1.002,20
69,42578,0.499305556,2,hour,1.006,1.0028,20
69,42578,0.686805556,6,hour,1.0055,1.002,20
